record_id,reason_raw,journal,retraction_doi,original_doi,your_label,notes
36691,Original Data and/or Images not Provided and/or not Available;Unreliable Data;,Cell Cycle,10.1080/15384101.2022.2046820,10.1080/15384101.2020.1724601,,
30368,Duplication of/in Image;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Journal of Cellular Biochemistry,10.1002/jcb.30044,10.1002/jcb.26455,,
9757,Manipulation of Images;,PNAS: Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1506636112,10.1073/pnas.1112500109,,
23922,Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;,Diabetes Technology & Therapeutics,10.1089/dia.2020.0184.retract,10.1089/dia.2020.0184,,
45939,Concerns/Issues about Data;Concerns/Issues about Human Subject Welfare;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Lack of IRB/IACUC Approval and/or Compliance;Unreliable Results and/or Conclusions;,Evidence-Based Complementary and Alternative Medicine,10.1155/2023/9837873,10.1155/2021/7883643,,
23556,Doing the Right Thing;Error in Analyses;Error in Results and/or Conclusions;,JAMA Psychiatry,10.1001/jamapsychiatry.2020.2026,10.1001/jamapsychiatry.2019.4815,,
26997,Duplication of/in Image;Investigation by Third Party;Paper Mill;Unreliable Data;,Pharmacological Reports,10.1007/s43440-020-00178-z,10.1016/j.pharep.2018.03.003,,
6398,Investigation by Company/Institution;Misconduct by Author;Unreliable Data;Unreliable Results and/or Conclusions;,Molecular Pharmacology,10.1124/mol.114.092536retraction,10.1124/mol.114.092536,,
47556,Author Unresponsive;Concerns/Issues about Data;Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;,Cancer Management and Research,10.2147/CMAR.S438019,10.2147/cmar.s272498,,
8211,Error in Results and/or Conclusions;Error in Text;,JAMA Psychiatry,10.1001/jamapsychiatry.2017.0144,10.1001/jamapsychiatry.2016.3955,,
7758,Compromised Peer Review;Investigation by Journal/Publisher;,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),10.1007/s13277-017-5487-6,10.1007/s13277-015-4447-2,,
1585,Error in Data;Error in Methods;Results Not Reproducible;,Cancer Research,10.1158/0008-5472.CAN-13-1715,10.1158/0008-5472.can-10-1483,,
46839,Author Unresponsive;Concerns/Issues about Data;Duplication of/in Image;Investigation by Journal/Publisher;Objections by Third Party;,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2023.125762,10.1016/j.ijbiomac.2023.123169,,
